18009 silly gunzTarPerm modes [ '777', '666' ]
20693 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20694 silly gunzTarPerm extractEntry CHANGELOG.md
20695 silly gunzTarPerm modified mode [ 'CHANGELOG.md', 420, 438 ]
20696 silly gunzTarPerm extractEntry index.js
20697 silly gunzTarPerm modified mode [ 'index.js', 436, 438 ]
20698 silly gunzTarPerm extractEntry readme.md
20699 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20700 silly gunzTarPerm extractEntry .travis.yml
20701 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
20702 silly gunzTarPerm extractEntry example/parse.js
20703 silly gunzTarPerm modified mode [ 'example/parse.js', 420, 438 ]
20704 silly gunzTarPerm extractEntry MIT-LICENSE.txt
20705 silly gunzTarPerm modified mode [ 'MIT-LICENSE.txt', 420, 438 ]
20706 silly gunzTarPerm extractEntry ReadMe.md
20707 silly gunzTarPerm modified mode [ 'ReadMe.md', 420, 438 ]
20708 silly gunzTarPerm extractEntry map.js
20709 silly gunzTarPerm modified mode [ 'map.js', 420, 438 ]
20710 silly gunzTarPerm extractEntry pseudomap.js
20711 silly gunzTarPerm modified mode [ 'pseudomap.js', 420, 438 ]
20712 silly gunzTarPerm extractEntry LICENSE.md
20713 silly gunzTarPerm modified mode [ 'LICENSE.md', 420, 438 ]
20714 silly gunzTarPerm extractEntry readme.md
20715 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20716 silly gunzTarPerm extractEntry bench.js
20717 silly gunzTarPerm modified mode [ 'bench.js', 420, 438 ]
20718 silly gunzTarPerm extractEntry index.js
20719 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20720 silly gunzTarPerm extractEntry LICENSE
20721 silly gunzTarPerm modified mode [ 'LICENSE', 436, 438 ]
20722 silly gunzTarPerm extractEntry index.js
20723 silly gunzTarPerm modified mode [ 'index.js', 436, 438 ]
20724 silly gunzTarPerm extractEntry readme.md
20725 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20726 silly gunzTarPerm extractEntry index.js
20727 silly gunzTarPerm modified mode [ 'index.js', 436, 438 ]
20728 silly gunzTarPerm extractEntry lib/data-stream.js
20729 silly gunzTarPerm modified mode [ 'lib/data-stream.js', 436, 438 ]
20730 silly gunzTarPerm extractEntry CHANGELOG.md
20731 silly gunzTarPerm modified mode [ 'CHANGELOG.md', 420, 438 ]
20732 silly gunzTarPerm extractEntry index.js
20733 silly gunzTarPerm extractEntry HISTORY.md
20734 silly gunzTarPerm extractEntry index.js
20735 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20736 silly gunzTarPerm extractEntry test/index.js
20737 silly gunzTarPerm modified mode [ 'test/index.js', 420, 438 ]
20738 silly gunzTarPerm extractEntry semver.js
20739 silly gunzTarPerm modified mode [ 'semver.js', 420, 438 ]
20740 silly gunzTarPerm extractEntry Readme.md
20741 silly gunzTarPerm modified mode [ 'Readme.md', 420, 438 ]
20742 silly gunzTarPerm extractEntry History.md
20743 silly gunzTarPerm modified mode [ 'History.md', 420, 438 ]
20744 silly gunzTarPerm extractEntry readme.md
20745 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20746 silly gunzTarPerm extractEntry LICENSE
20747 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20748 silly gunzTarPerm extractEntry stringify.js
20749 silly gunzTarPerm modified mode [ 'stringify.js', 420, 438 ]
20750 silly gunzTarPerm extractEntry index.js
20751 silly gunzTarPerm extractEntry HISTORY.md
20752 silly gunzTarPerm extractEntry AUTHORS
20753 silly gunzTarPerm modified mode [ 'AUTHORS', 420, 438 ]
20754 silly gunzTarPerm extractEntry CHANGES.md
20755 silly gunzTarPerm modified mode [ 'CHANGES.md', 420, 438 ]
20756 silly gunzTarPerm extractEntry History.md
20757 silly gunzTarPerm modified mode [ 'History.md', 420, 438 ]
20758 silly gunzTarPerm extractEntry Readme.md
20759 silly gunzTarPerm modified mode [ 'Readme.md', 420, 438 ]
20760 silly gunzTarPerm extractEntry index.d.ts
20761 silly gunzTarPerm modified mode [ 'index.d.ts', 420, 438 ]
20762 silly gunzTarPerm extractEntry readme.md
20763 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20764 silly gunzTarPerm extractEntry readme.md
20765 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20766 silly gunzTarPerm extractEntry LICENSE
20767 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20768 silly gunzTarPerm extractEntry index.js
20769 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20770 silly gunzTarPerm extractEntry readme.md
20771 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20772 silly gunzTarPerm extractEntry LICENSE
20773 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20774 silly gunzTarPerm extractEntry duplex.js
20775 silly gunzTarPerm modified mode [ 'duplex.js', 420, 438 ]
20776 silly gunzTarPerm extractEntry LICENSE
20777 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20778 silly gunzTarPerm extractEntry docs/docco.css
20779 silly gunzTarPerm modified mode [ 'docs/docco.css', 420, 438 ]
20780 silly gunzTarPerm extractEntry readme.md
20781 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20782 silly gunzTarPerm extractEntry .travis.yml
20783 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
20784 silly gunzTarPerm extractEntry lib/lazystream.js
20785 silly gunzTarPerm modified mode [ 'lib/lazystream.js', 420, 438 ]
20786 silly gunzTarPerm extractEntry LICENSE-MIT.txt
20787 silly gunzTarPerm modified mode [ 'LICENSE-MIT.txt', 420, 438 ]
20788 silly gunzTarPerm extractEntry readme.md
20789 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20790 silly gunzTarPerm extractEntry lib/compress-commons.js
20791 silly gunzTarPerm extractEntry lib/archivers/archive-entry.js
20792 silly gunzTarPerm extractEntry readme.md
20793 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20794 silly gunzTarPerm extractEntry index.js
20795 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20796 silly gunzTarPerm extractEntry lib/async-map-ordered.js
20797 silly gunzTarPerm modified mode [ 'lib/async-map-ordered.js', 420, 438 ]
20798 silly gunzTarPerm extractEntry readme.md
20799 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20800 silly gunzTarPerm extractEntry CHANGELOG.md
20801 silly gunzTarPerm modified mode [ 'CHANGELOG.md', 436, 438 ]
20802 silly gunzTarPerm extractEntry dist/async.js
20803 silly gunzTarPerm modified mode [ 'dist/async.js', 436, 438 ]
20804 silly gunzTarPerm extractEntry dist/async.min.js
20805 silly gunzTarPerm modified mode [ 'dist/async.min.js', 436, 438 ]
20806 silly gunzTarPerm extractEntry lib/crc32-stream.js
20807 silly gunzTarPerm extractEntry lib/deflate-crc32-stream.js
20808 silly gunzTarPerm extractEntry dist/pad-string.js
20809 silly gunzTarPerm modified mode [ 'dist/pad-string.js', 420, 438 ]
20810 silly gunzTarPerm extractEntry dist/.gitkeep
20811 silly gunzTarPerm modified mode [ 'dist/.gitkeep', 420, 438 ]
20812 silly gunzTarPerm extractEntry index.js
20813 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20814 silly gunzTarPerm extractEntry test.js
20815 silly gunzTarPerm modified mode [ 'test.js', 420, 438 ]
20816 silly gunzTarPerm extractEntry readme.md
20817 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20818 silly gunzTarPerm extractEntry spin.js
20819 silly gunzTarPerm modified mode [ 'spin.js', 420, 438 ]
20820 silly gunzTarPerm extractEntry test/basic.js
20821 silly gunzTarPerm modified mode [ 'test/basic.js', 420, 438 ]
20822 silly gunzTarPerm extractEntry lib/cookie.js
20823 silly gunzTarPerm modified mode [ 'lib/cookie.js', 420, 438 ]
20824 silly gunzTarPerm extractEntry lib/memstore.js
20825 silly gunzTarPerm modified mode [ 'lib/memstore.js', 420, 438 ]
20826 silly gunzTarPerm extractEntry lib/pathMatch.js
20827 silly gunzTarPerm modified mode [ 'lib/pathMatch.js', 420, 438 ]
20828 silly gunzTarPerm extractEntry LICENSE
20829 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20830 silly gunzTarPerm extractEntry index.js
20831 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20832 silly gunzTarPerm extractEntry underscore.js
20833 silly gunzTarPerm modified mode [ 'underscore.js', 420, 438 ]
20834 silly gunzTarPerm extractEntry underscore-min.js
20835 silly gunzTarPerm modified mode [ 'underscore-min.js', 420, 438 ]
20836 silly gunzTarPerm extractEntry underscore-min.map
20837 silly gunzTarPerm modified mode [ 'underscore-min.map', 420, 438 ]
20838 silly gunzTarPerm extractEntry test.js
20839 silly gunzTarPerm modified mode [ 'test.js', 420, 438 ]
20840 silly gunzTarPerm extractEntry isstream.js
20841 silly gunzTarPerm modified mode [ 'isstream.js', 420, 438 ]
20842 silly gunzTarPerm extractEntry readme.md
20843 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20844 silly gunzTarPerm extractEntry LICENSE
20845 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20846 silly gunzTarPerm extractEntry base64.js
20847 silly gunzTarPerm modified mode [ 'base64.js', 420, 438 ]
20848 silly gunzTarPerm extractEntry LICENSE
20849 silly gunzTarPerm modified mode [ 'LICENSE', 436, 438 ]
20850 silly gunzTarPerm extractEntry index.js
20851 silly gunzTarPerm modified mode [ 'index.js', 436, 438 ]
20852 silly gunzTarPerm extractEntry index.js
20853 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20854 silly gunzTarPerm extractEntry test.js
20855 silly gunzTarPerm modified mode [ 'test.js', 420, 438 ]
20856 silly gunzTarPerm extractEntry index.js
20857 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20858 silly gunzTarPerm extractEntry LICENSE
20859 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20860 silly gunzTarPerm extractEntry src/assign.js
20861 silly gunzTarPerm modified mode [ 'src/assign.js', 420, 438 ]
20862 silly gunzTarPerm extractEntry src/ecdsa-sig-formatter.js
20863 silly gunzTarPerm modified mode [ 'src/ecdsa-sig-formatter.js', 420, 438 ]
20864 silly gunzTarPerm extractEntry lib/url-join.js
20865 silly gunzTarPerm modified mode [ 'lib/url-join.js', 420, 438 ]
20866 silly gunzTarPerm extractEntry test/tests.js
20867 silly gunzTarPerm modified mode [ 'test/tests.js', 420, 438 ]
20868 silly gunzTarPerm extractEntry array-flatten.js
20869 silly gunzTarPerm modified mode [ 'array-flatten.js', 420, 438 ]
20870 silly gunzTarPerm extractEntry array-flatten.d.ts
20871 silly gunzTarPerm modified mode [ 'array-flatten.d.ts', 420, 438 ]
20872 silly gunzTarPerm extractEntry readme.md
20873 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20874 silly gunzTarPerm extractEntry readme.md
20875 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20876 silly gunzTarPerm extractEntry readme.md
20877 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20878 silly gunzTarPerm extractEntry LICENSE.md
20879 silly gunzTarPerm modified mode [ 'LICENSE.md', 420, 438 ]
20880 silly gunzTarPerm extractEntry array-flatten.js
20881 silly gunzTarPerm modified mode [ 'array-flatten.js', 420, 438 ]
20882 silly gunzTarPerm extractEntry index.js
20883 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20884 silly gunzTarPerm extractEntry test.js
20885 silly gunzTarPerm modified mode [ 'test.js', 420, 438 ]
20886 silly gunzTarPerm extractEntry LICENSE
20887 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20888 silly gunzTarPerm extractEntry index.js
20889 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20890 silly gunzTarPerm extractEntry CHANGELOG.md
20891 silly gunzTarPerm modified mode [ 'CHANGELOG.md', 420, 438 ]
20892 silly gunzTarPerm extractEntry index.js
20893 silly gunzTarPerm extractEntry HISTORY.md
20894 silly gunzTarPerm extractEntry LICENSE.txt
20895 silly gunzTarPerm modified mode [ 'LICENSE.txt', 420, 438 ]
20896 silly gunzTarPerm extractEntry index.js
20897 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20898 silly gunzTarPerm extractEntry test/all.test.js
20899 silly gunzTarPerm modified mode [ 'test/all.test.js', 420, 438 ]
20900 silly gunzTarPerm extractEntry readme.md
20901 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20902 silly gunzTarPerm extractEntry LICENSE
20903 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20904 silly gunzTarPerm extractEntry writable.js
20905 silly gunzTarPerm modified mode [ 'writable.js', 420, 438 ]
20906 silly gunzTarPerm extractEntry readme.md
20907 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20908 silly gunzTarPerm extractEntry LICENSE
20909 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20910 silly gunzTarPerm extractEntry index.js
20911 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20912 silly gunzTarPerm extractEntry bl.js
20913 silly gunzTarPerm modified mode [ 'bl.js', 420, 438 ]
20914 silly gunzTarPerm extractEntry .jshintrc
20915 silly gunzTarPerm modified mode [ '.jshintrc', 420, 438 ]
20916 silly gunzTarPerm extractEntry .travis.yml
20917 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
20918 silly gunzTarPerm extractEntry LICENSE.md
20919 silly gunzTarPerm modified mode [ 'LICENSE.md', 420, 438 ]
20920 silly gunzTarPerm extractEntry test/test.js
20921 silly gunzTarPerm modified mode [ 'test/test.js', 420, 438 ]
20922 silly gunzTarPerm extractEntry v4.js
20923 silly gunzTarPerm modified mode [ 'v4.js', 420, 438 ]
20924 silly gunzTarPerm extractEntry index.js
20925 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20926 silly gunzTarPerm extractEntry index.js
20927 silly gunzTarPerm extractEntry HISTORY.md
20928 silly gunzTarPerm extractEntry readme.md
20929 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20930 silly gunzTarPerm extractEntry index.js
20931 silly gunzTarPerm extractEntry HISTORY.md
20932 silly gunzTarPerm extractEntry History.md
20933 silly gunzTarPerm extractEntry Readme.md
20934 silly gunzTarPerm extractEntry readme.md
20935 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20936 silly gunzTarPerm extractEntry index.js
20937 silly gunzTarPerm extractEntry HISTORY.md
20938 silly gunzTarPerm extractEntry readme.md
20939 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20940 silly gunzTarPerm extractEntry index.js
20941 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20942 silly gunzTarPerm extractEntry .travis.yml
20943 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
20944 silly gunzTarPerm extractEntry LICENSE
20945 silly gunzTarPerm extractEntry src/urlparser.js
20946 silly gunzTarPerm extractEntry index.js
20947 silly gunzTarPerm extractEntry HISTORY.md
20948 silly gunzTarPerm extractEntry lib/layer.js
20949 silly gunzTarPerm extractEntry lib/route.js
20950 silly gunzTarPerm extractEntry LICENSE
20951 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20952 silly gunzTarPerm extractEntry fstream.js
20953 silly gunzTarPerm modified mode [ 'fstream.js', 420, 438 ]
20954 silly gunzTarPerm extractEntry index.js
20955 silly gunzTarPerm extractEntry HISTORY.md
20956 silly gunzTarPerm extractEntry LICENSE
20957 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20958 silly gunzTarPerm extractEntry index.js
20959 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20960 silly gunzTarPerm extractEntry index.js
20961 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20962 silly gunzTarPerm extractEntry test.js
20963 silly gunzTarPerm modified mode [ 'test.js', 420, 438 ]
20964 silly gunzTarPerm extractEntry readme.md
20965 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20966 silly gunzTarPerm extractEntry once.js
20967 silly gunzTarPerm modified mode [ 'once.js', 420, 438 ]
20968 silly gunzTarPerm extractEntry index.js
20969 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
20970 silly gunzTarPerm extractEntry LICENSE
20971 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20972 silly gunzTarPerm extractEntry writable.js
20973 silly gunzTarPerm modified mode [ 'writable.js', 420, 438 ]
20974 silly gunzTarPerm extractEntry index.js
20975 silly gunzTarPerm extractEntry HISTORY.md
20976 silly gunzTarPerm extractEntry LICENSE
20977 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20978 silly gunzTarPerm extractEntry CHANGES.md
20979 silly gunzTarPerm modified mode [ 'CHANGES.md', 420, 438 ]
20980 silly gunzTarPerm extractEntry inflight.js
20981 silly gunzTarPerm modified mode [ 'inflight.js', 420, 438 ]
20982 silly gunzTarPerm extractEntry readme.md
20983 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
20984 silly gunzTarPerm extractEntry once.js
20985 silly gunzTarPerm modified mode [ 'once.js', 420, 438 ]
20986 silly gunzTarPerm extractEntry Makefile
20987 silly gunzTarPerm modified mode [ 'Makefile', 420, 438 ]
20988 silly gunzTarPerm extractEntry Readme.md
20989 silly gunzTarPerm modified mode [ 'Readme.md', 420, 438 ]
20990 silly gunzTarPerm extractEntry headers.js
20991 silly gunzTarPerm modified mode [ 'headers.js', 420, 438 ]
20992 silly gunzTarPerm extractEntry extract.js
20993 silly gunzTarPerm modified mode [ 'extract.js', 420, 438 ]
20994 silly gunzTarPerm extractEntry LICENSE
20995 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
20996 silly gunzTarPerm extractEntry through2.js
20997 silly gunzTarPerm modified mode [ 'through2.js', 420, 438 ]
20998 silly gunzTarPerm extractEntry index.js
20999 silly gunzTarPerm modified mode [ 'index.js', 509, 511 ]
21000 silly gunzTarPerm extractEntry request.js
21001 silly gunzTarPerm modified mode [ 'request.js', 436, 438 ]
21002 silly gunzTarPerm extractEntry CHANGELOG.md
21003 silly gunzTarPerm modified mode [ 'CHANGELOG.md', 436, 438 ]
21004 silly gunzTarPerm extractEntry readme.md
21005 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21006 silly gunzTarPerm extractEntry index.js
21007 silly gunzTarPerm extractEntry lib/core.js
21008 silly gunzTarPerm extractEntry lib/utils.js
21009 silly gunzTarPerm modified mode [ 'lib/utils.js', 420, 438 ]
21010 silly gunzTarPerm extractEntry LICENSE
21011 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21012 silly gunzTarPerm extractEntry formats.js
21013 silly gunzTarPerm modified mode [ 'formats.js', 420, 438 ]
21014 silly gunzTarPerm extractEntry LICENSE
21015 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21016 silly gunzTarPerm extractEntry writable.js
21017 silly gunzTarPerm modified mode [ 'writable.js', 420, 438 ]
21018 silly gunzTarPerm extractEntry index.js
21019 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21020 silly gunzTarPerm extractEntry lib/enoent.js
21021 silly gunzTarPerm modified mode [ 'lib/enoent.js', 420, 438 ]
21022 silly gunzTarPerm extractEntry lib/objects/choice.js
21023 silly gunzTarPerm modified mode [ 'lib/objects/choice.js', 420, 438 ]
21024 silly gunzTarPerm extractEntry LICENSE
21025 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21026 silly gunzTarPerm extractEntry once.js
21027 silly gunzTarPerm modified mode [ 'once.js', 420, 438 ]
21028 silly gunzTarPerm extractEntry LICENSE
21029 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21030 silly gunzTarPerm extractEntry .editorconfig
21031 silly gunzTarPerm modified mode [ '.editorconfig', 420, 438 ]
21032 silly gunzTarPerm extractEntry wrappy.js
21033 silly gunzTarPerm modified mode [ 'wrappy.js', 420, 438 ]
21034 silly gunzTarPerm extractEntry LICENCE
21035 silly gunzTarPerm modified mode [ 'LICENCE', 436, 438 ]
21036 silly gunzTarPerm extractEntry immutable.js
21037 silly gunzTarPerm modified mode [ 'immutable.js', 436, 438 ]
21038 silly gunzTarPerm extractEntry LICENSE
21039 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21040 silly gunzTarPerm extractEntry bower.json
21041 silly gunzTarPerm modified mode [ 'bower.json', 420, 438 ]
21042 silly gunzTarPerm extractEntry chain.js
21043 silly gunzTarPerm modified mode [ 'chain.js', 420, 438 ]
21044 silly gunzTarPerm extractEntry string.js
21045 silly gunzTarPerm modified mode [ 'string.js', 420, 438 ]
21046 silly gunzTarPerm extractEntry readme.md
21047 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21048 silly gunzTarPerm extractEntry ignore.js
21049 silly gunzTarPerm modified mode [ 'ignore.js', 420, 438 ]
21050 silly gunzTarPerm extractEntry lib/lru-cache.js
21051 silly gunzTarPerm modified mode [ 'lib/lru-cache.js', 420, 438 ]
21052 silly gunzTarPerm extractEntry LICENSE
21053 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21054 silly gunzTarPerm extractEntry cleanup.sh
21055 silly gunzTarPerm modified mode [ 'cleanup.sh', 493, 511 ]
21056 silly gunzTarPerm extractEntry index.js
21057 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21058 silly gunzTarPerm extractEntry History.md
21059 silly gunzTarPerm modified mode [ 'History.md', 420, 438 ]
21060 silly gunzTarPerm extractEntry LICENSE
21061 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21062 silly gunzTarPerm extractEntry index.js
21063 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21064 silly gunzTarPerm extractEntry index.js
21065 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21066 silly gunzTarPerm extractEntry test.js
21067 silly gunzTarPerm modified mode [ 'test.js', 420, 438 ]
21068 silly gunzTarPerm extractEntry LICENSE.APACHE2
21069 silly gunzTarPerm modified mode [ 'LICENSE.APACHE2', 420, 438 ]
21070 silly gunzTarPerm extractEntry LICENSE.MIT
21071 silly gunzTarPerm modified mode [ 'LICENSE.MIT', 420, 438 ]
21072 silly gunzTarPerm extractEntry readme.md
21073 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21074 silly gunzTarPerm extractEntry LICENSE
21075 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21076 silly gunzTarPerm extractEntry tar.js
21077 silly gunzTarPerm modified mode [ 'tar.js', 420, 438 ]
21078 silly gunzTarPerm extractEntry LICENSE
21079 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21080 silly gunzTarPerm extractEntry index.js
21081 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21082 silly gunzTarPerm extractEntry LICENSE
21083 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21084 silly gunzTarPerm extractEntry .jshintignore
21085 silly gunzTarPerm modified mode [ '.jshintignore', 420, 438 ]
21086 silly gunzTarPerm extractEntry index.js
21087 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21088 silly gunzTarPerm extractEntry LICENSE
21089 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21090 silly gunzTarPerm extractEntry example.js
21091 silly gunzTarPerm modified mode [ 'example.js', 420, 438 ]
21092 silly gunzTarPerm extractEntry readme.md
21093 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21094 silly gunzTarPerm extractEntry LICENSE
21095 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21096 silly gunzTarPerm extractEntry osenv.js
21097 silly gunzTarPerm modified mode [ 'osenv.js', 420, 438 ]
21098 silly gunzTarPerm extractEntry LICENSE
21099 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21100 silly gunzTarPerm extractEntry index.js
21101 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21102 silly gunzTarPerm extractEntry lib/zip-stream.js
21103 silly gunzTarPerm extractEntry lib/util/index.js
21104 silly gunzTarPerm extractEntry LICENSE
21105 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21106 silly gunzTarPerm extractEntry lib/firebase-node.js
21107 silly gunzTarPerm modified mode [ 'lib/firebase-node.js', 420, 438 ]
21108 silly gunzTarPerm extractEntry LICENSE
21109 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21110 silly gunzTarPerm extractEntry writable.js
21111 silly gunzTarPerm modified mode [ 'writable.js', 420, 438 ]
21112 silly gunzTarPerm extractEntry readme.md
21113 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21114 silly gunzTarPerm extractEntry LICENSE
21115 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21116 silly gunzTarPerm extractEntry writable.js
21117 silly gunzTarPerm modified mode [ 'writable.js', 420, 438 ]
21118 silly gunzTarPerm extractEntry index.js
21119 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21120 silly gunzTarPerm extractEntry .travis.yml
21121 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
21122 silly gunzTarPerm extractEntry LICENSE
21123 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21124 silly gunzTarPerm extractEntry .travis.yml
21125 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
21126 silly gunzTarPerm extractEntry LICENSE
21127 silly gunzTarPerm modified mode [ 'LICENSE', 493, 511 ]
21128 silly gunzTarPerm extractEntry index.js
21129 silly gunzTarPerm modified mode [ 'index.js', 420, 438 ]
21130 silly gunzTarPerm extractEntry readme.md
21131 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21132 silly gunzTarPerm extractEntry readme.md
21133 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21134 silly gunzTarPerm extractEntry LICENSE
21135 silly gunzTarPerm modified mode [ 'LICENSE', 509, 511 ]
21136 silly gunzTarPerm extractEntry .travis.yml
21137 silly gunzTarPerm modified mode [ '.travis.yml', 509, 511 ]
21138 silly gunzTarPerm extractEntry .travis.yml
21139 silly gunzTarPerm modified mode [ '.travis.yml', 420, 438 ]
21140 silly gunzTarPerm extractEntry bin/cmd.js
21141 silly gunzTarPerm modified mode [ 'bin/cmd.js', 493, 511 ]
21142 silly gunzTarPerm extractEntry LICENSE
21143 silly gunzTarPerm modified mode [ 'LICENSE', 420, 438 ]
21144 silly gunzTarPerm extractEntry browser.js
21145 silly gunzTarPerm modified mode [ 'browser.js', 420, 438 ]
21146 silly gunzTarPerm extractEntry node.js
21147 silly gunzTarPerm modified mode [ 'node.js', 420, 438 ]
21148 silly gunzTarPerm extractEntry license
21149 silly gunzTarPerm modified mode [ 'license', 420, 438 ]
21150 silly gunzTarPerm extractEntry readme.md
21151 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21152 silly gunzTarPerm extractEntry LICENSE
21153 silly gunzTarPerm modified mode [ 'LICENSE', 509, 511 ]
21154 silly gunzTarPerm extractEntry index.js
21155 silly gunzTarPerm modified mode [ 'index.js', 509, 511 ]
21156 silly gunzTarPerm extractEntry LICENSE
21157 silly gunzTarPerm modified mode [ 'LICENSE', 509, 511 ]
21158 silly gunzTarPerm extractEntry license
21159 silly gunzTarPerm modified mode [ 'license', 420, 438 ]
21160 silly gunzTarPerm extractEntry readme.md
21161 silly gunzTarPerm modified mode [ 'readme.md', 420, 438 ]
21162 silly gunzTarPerm extractEntry browser.js
